Entry ID;Experimental Method;Number of Water Molecules per Deposited Model;Resolution (Å);
5DUI;X-RAY DIFFRACTION;51;2,306;
5DWA;X-RAY DIFFRACTION;524;1,5;
5DWB;X-RAY DIFFRACTION;175;2,4;
5DY0;X-RAY DIFFRACTION;;3;
5,00E+01;X-RAY DIFFRACTION;228;2,3;
5,00E+17;X-RAY DIFFRACTION;159;3,2;
5,00E+18;X-RAY DIFFRACTION;26;3,3;
5,00E+24;X-RAY DIFFRACTION;669;2,14;
5E3L;X-RAY DIFFRACTION;4;2,66;
5E3M;X-RAY DIFFRACTION;7;2,886;
5E3N;X-RAY DIFFRACTION;9;2,66;
5E3O;X-RAY DIFFRACTION;8;2,78;
5,00E+41;X-RAY DIFFRACTION;325;1,8;
5E5A;X-RAY DIFFRACTION;230;2,809;
5E5O;X-RAY DIFFRACTION;80;2,36;
5E5S;X-RAY DIFFRACTION;23;2,29;
5,00E+63;X-RAY DIFFRACTION;49;2,6;
5,00E+67;X-RAY DIFFRACTION;188;2,2;
5,00E+69;X-RAY DIFFRACTION;96;1,85;
5E6A;X-RAY DIFFRACTION;51;2,197;
5E6B;X-RAY DIFFRACTION;75;2,25;
5E6C;X-RAY DIFFRACTION;29;2,2;
5E6D;X-RAY DIFFRACTION;19;2,4;
5E8I;X-RAY DIFFRACTION;4;3,45;
5EAN;X-RAY DIFFRACTION;4;2,36;
5EAX;X-RAY DIFFRACTION;;3,05;
5ED4;X-RAY DIFFRACTION;233;2,4;
5EDN;X-RAY DIFFRACTION;17;3,2;
5EDW;X-RAY DIFFRACTION;45;2,62;
5EEA;X-RAY DIFFRACTION;518;2,195;
5EF6;X-RAY DIFFRACTION;101;3;
5EG0;X-RAY DIFFRACTION;29;3,101;
5EG6;X-RAY DIFFRACTION;161;2,094;
5EGB;X-RAY DIFFRACTION;167;1,977;
5EGO;X-RAY DIFFRACTION;20;2,54;
5EH2;X-RAY DIFFRACTION;122;2,05;
5EI9;X-RAY DIFFRACTION;168;1,921;
5EIX;X-RAY DIFFRACTION;;3,35;
5EJK;X-RAY DIFFRACTION;;3,8;
5EMC;X-RAY DIFFRACTION;184;2,3;
5EMP;X-RAY DIFFRACTION;47;2,3;
5EMQ;X-RAY DIFFRACTION;35;2,3;
5EOZ;X-RAY DIFFRACTION;202;2,088;
5ESP;X-RAY DIFFRACTION;2;2,995;
5EW1;X-RAY DIFFRACTION;74;2,95;
5EW2;X-RAY DIFFRACTION;7;3,59;
5EWE;X-RAY DIFFRACTION;444;1,66;
5EWF;X-RAY DIFFRACTION;410;1,782;
5EWG;X-RAY DIFFRACTION;374;1,75;
5EXH;X-RAY DIFFRACTION;230;1,3;
5EYB;X-RAY DIFFRACTION;129;2,7;
5EYO;X-RAY DIFFRACTION;11;2,39;
5F0Q;X-RAY DIFFRACTION;65;2,21;
5F0S;X-RAY DIFFRACTION;;3;
5F3W;X-RAY DIFFRACTION;2;3,11;
5F55;X-RAY DIFFRACTION;;2,6;
5F56;X-RAY DIFFRACTION;142;2,3;
5F7Q;X-RAY DIFFRACTION;273;2,4;
5F8A;X-RAY DIFFRACTION;301;1,76;
5F99;X-RAY DIFFRACTION;936;2,63;
5F9L;X-RAY DIFFRACTION;163;2,592;
5F9N;X-RAY DIFFRACTION;273;2,23;
5F9R;X-RAY DIFFRACTION;;3,4;
5FB2;X-RAY DIFFRACTION;128;1,8;
5FD3;X-RAY DIFFRACTION;56;2,42;
5FDK;X-RAY DIFFRACTION;;3,208;
5FF8;X-RAY DIFFRACTION;235;1,7;
5FFJ;X-RAY DIFFRACTION;8;2,84;
5FGP;X-RAY DIFFRACTION;126;2;
5FHD;X-RAY DIFFRACTION;444;2;
5FHE;X-RAY DIFFRACTION;;2,9;
5FJ8;ELECTRON MICROSCOPY;;3.9, 3.9;
5FKV;ELECTRON MICROSCOPY;;8, 8.04;
5FKW;ELECTRON MICROSCOPY;;7.3, 7.3;
5FLM;ELECTRON MICROSCOPY;;3.4, 3.4;
5FLV;X-RAY DIFFRACTION;;3,005;
5FMF;ELECTRON MICROSCOPY;;6, 6;
5FMP;X-RAY DIFFRACTION;96;2,26;
5FQ5;X-RAY DIFFRACTION;1108;2,136;
5FRM;X-RAY DIFFRACTION;135;2,58;
5FRN;X-RAY DIFFRACTION;91;2,85;
5FRO;X-RAY DIFFRACTION;195;2,67;
5FTE;X-RAY DIFFRACTION;;3,19;
5FUR;ELECTRON MICROSCOPY;;8.5, 8.5;
5FW1;X-RAY DIFFRACTION;301;2,499;
5FW2;X-RAY DIFFRACTION;204;2,676;
5FW3;X-RAY DIFFRACTION;152;2,7;
5FYW;ELECTRON MICROSCOPY;;4.35, 4.35;
5FZ5;ELECTRON MICROSCOPY;;8.8, 8.8;
5G32;X-RAY DIFFRACTION;36;2,2;
5G33;X-RAY DIFFRACTION;6;2,4;
5G34;X-RAY DIFFRACTION;55;1,9;
5G35;X-RAY DIFFRACTION;53;2;
5G5T;X-RAY DIFFRACTION;;2,85;
5GAT;SOLUTION NMR;;;
5GKE;X-RAY DIFFRACTION;66;2,4;
5GKF;X-RAY DIFFRACTION;35;2,8;
5GKG;X-RAY DIFFRACTION;81;2,6;
5GKH;X-RAY DIFFRACTION;7;2,9;
5GKI;X-RAY DIFFRACTION;21;2,9;
5GKP;X-RAY DIFFRACTION;175;2,3;
5GKR;X-RAY DIFFRACTION;156;2,1;
5GNJ;X-RAY DIFFRACTION;62;2,7;
5GPC;X-RAY DIFFRACTION;17;2,8;
5GQ9;X-RAY DIFFRACTION;;2,7;
5GSE;X-RAY DIFFRACTION;;3,14;
5GSU;X-RAY DIFFRACTION;12;3,1;
5GT0;X-RAY DIFFRACTION;78;2,82;
5GT3;X-RAY DIFFRACTION;12;2,91;
5GTC;X-RAY DIFFRACTION;;2,7;
5GWI;X-RAY DIFFRACTION;183;2,737;
5GWJ;X-RAY DIFFRACTION;312;2,566;
5GWK;X-RAY DIFFRACTION;;3,152;
5GXQ;X-RAY DIFFRACTION;;2,85;
5GZB;X-RAY DIFFRACTION;1;2,704;
5H1B;ELECTRON MICROSCOPY;;4,4;
5H1C;ELECTRON MICROSCOPY;;4,5;
5H3R;X-RAY DIFFRACTION;24;2,67;
5H58;X-RAY DIFFRACTION;;3,991;
5H8W;X-RAY DIFFRACTION;43;2,2;
5H9E;X-RAY DIFFRACTION;;3,21;
5H9F;X-RAY DIFFRACTION;1050;2,45;
5HAW;X-RAY DIFFRACTION;266;1,89;
5HBU;X-RAY DIFFRACTION;303;2,6;
5HCH;X-RAY DIFFRACTION;26;2,9;
5HDN;X-RAY DIFFRACTION;708;1,68;
5HF7;X-RAY DIFFRACTION;330;1,54;
5HHH;X-RAY DIFFRACTION;90;2,363;
5HHI;X-RAY DIFFRACTION;36;2,517;
5HK3;X-RAY DIFFRACTION;182;1,56;
5HLF;X-RAY DIFFRACTION;5;2,95;
5HLG;X-RAY DIFFRACTION;;3;
5HLH;X-RAY DIFFRACTION;;3;
5HLK;X-RAY DIFFRACTION;237;2;
5HLT;X-RAY DIFFRACTION;50;2,672;
5HNF;X-RAY DIFFRACTION;479;1,546;
5HNH;X-RAY DIFFRACTION;171;1,876;
5HNK;X-RAY DIFFRACTION;224;2,22;
5HOD;X-RAY DIFFRACTION;27;2,682;
5HOO;X-RAY DIFFRACTION;2;3,3;
5HP1;X-RAY DIFFRACTION;2;2,9;
5HP4;X-RAY DIFFRACTION;218;1,86;
5HQ2;X-RAY DIFFRACTION;;4,5;
5HR4;X-RAY DIFFRACTION;63;2,5964;
5HR9;X-RAY DIFFRACTION;68;2,2;
5HRB;X-RAY DIFFRACTION;217;1,7;
5HRD;X-RAY DIFFRACTION;297;1,8;
5HRE;X-RAY DIFFRACTION;122;1,75;
5HRF;X-RAY DIFFRACTION;79;2,25;
5HRG;X-RAY DIFFRACTION;161;2;
5HRH;X-RAY DIFFRACTION;2;3;
5HRI;X-RAY DIFFRACTION;82;2,2;
5HRK;X-RAY DIFFRACTION;2;2,9;
5HRL;X-RAY DIFFRACTION;45;2,4;
5HRO;X-RAY DIFFRACTION;5;2,75;
5HRT;X-RAY DIFFRACTION;459;1,997;
5HRU;X-RAY DIFFRACTION;526;1,71;
5HSO;X-RAY DIFFRACTION;;2,5;
5HT2;X-RAY DIFFRACTION;726;1,43;
5HTO;X-RAY DIFFRACTION;898;1,9;
5I2D;X-RAY DIFFRACTION;;4,405;
5I3U;X-RAY DIFFRACTION;;3;
5I42;X-RAY DIFFRACTION;;3,3;
5I44;X-RAY DIFFRACTION;168;2,621;
5I50;X-RAY DIFFRACTION;;2,701;
5IFF;X-RAY DIFFRACTION;162;1,9;
5III;X-RAY DIFFRACTION;332;1,8;
5IIJ;X-RAY DIFFRACTION;409;1,724;
5IIK;X-RAY DIFFRACTION;395;1,982;
5IIL;X-RAY DIFFRACTION;405;1,96;
5IIM;X-RAY DIFFRACTION;349;1,941;
5IIN;X-RAY DIFFRACTION;239;2,15;
5IIO;X-RAY DIFFRACTION;1213;2,08;
5INK;X-RAY DIFFRACTION;449;2,15;
5INL;X-RAY DIFFRACTION;721;1,551;
5INO;X-RAY DIFFRACTION;5;3,205;
5INP;X-RAY DIFFRACTION;444;1,947;
5INQ;X-RAY DIFFRACTION;374;1,848;
5IP3;X-RAY DIFFRACTION;;3;
5IPL;X-RAY DIFFRACTION;;3,6;
5IPM;X-RAY DIFFRACTION;;4,2;
5IPN;X-RAY DIFFRACTION;;4,61;
5ITH;X-RAY DIFFRACTION;5;2,31;
5ITR;X-RAY DIFFRACTION;125;2,46;
5ITT;X-RAY DIFFRACTION;182;2,53;
5ITU;X-RAY DIFFRACTION;179;2,41;
5ITX;X-RAY DIFFRACTION;183;2,65;
5ITY;X-RAY DIFFRACTION;360;2,48;
5IUD;X-RAY DIFFRACTION;100;3,3;
5IVW;ELECTRON MICROSCOPY;;10;
5IWI;X-RAY DIFFRACTION;971;1,98;
5IWM;X-RAY DIFFRACTION;262;2,5;
5IY6;ELECTRON MICROSCOPY;;7,2;
5IY7;ELECTRON MICROSCOPY;;8,6;
5IY8;ELECTRON MICROSCOPY;;7,9;
5IY9;ELECTRON MICROSCOPY;;6,3;
5IYA;ELECTRON MICROSCOPY;;5,4;
5IYB;ELECTRON MICROSCOPY;;3,9;
5IYC;ELECTRON MICROSCOPY;;3,9;
5IYD;ELECTRON MICROSCOPY;;3,9;
5J0N;ELECTRON MICROSCOPY;;11;
5J0O;X-RAY DIFFRACTION;419;2;
5J0P;X-RAY DIFFRACTION;261;2,2;
5J0Q;X-RAY DIFFRACTION;617;2;
5J0R;X-RAY DIFFRACTION;476;2,001;
5J0S;X-RAY DIFFRACTION;602;2;
5J0T;X-RAY DIFFRACTION;501;2;
5J0U;X-RAY DIFFRACTION;400;2,1;
5J0W;X-RAY DIFFRACTION;263;2,4;
5J0X;X-RAY DIFFRACTION;547;2;
5J0Y;X-RAY DIFFRACTION;560;2;
5J29;X-RAY DIFFRACTION;349;2,2;
5J2A;X-RAY DIFFRACTION;257;2,5;
5J2B;X-RAY DIFFRACTION;225;2,5;
5J2C;X-RAY DIFFRACTION;328;2,1;
5J2D;X-RAY DIFFRACTION;356;2,1;
5J2E;X-RAY DIFFRACTION;359;2,1;
5J2F;X-RAY DIFFRACTION;365;2,1;
5J2G;X-RAY DIFFRACTION;333;2,1;
5J2H;X-RAY DIFFRACTION;273;2,3;
5J2I;X-RAY DIFFRACTION;234;2,4;
5J2J;X-RAY DIFFRACTION;385;2,2;
5J2K;X-RAY DIFFRACTION;389;2,1;
5J2M;X-RAY DIFFRACTION;384;2,432;
5J2N;X-RAY DIFFRACTION;4;2,896;
5J2P;X-RAY DIFFRACTION;420;2,53;
5J2Q;X-RAY DIFFRACTION;3;2,789;
5J2Y;X-RAY DIFFRACTION;52;2,4;
5J37;X-RAY DIFFRACTION;635;2,3;
5J3E;X-RAY DIFFRACTION;10;2,6;
5J5P;X-RAY DIFFRACTION;824;1,97;
5J5Q;X-RAY DIFFRACTION;;2,83;
5J70;X-RAY DIFFRACTION;;2,956;
5JGH;X-RAY DIFFRACTION;126;2,6;
5JH0;X-RAY DIFFRACTION;75;2,18;
5JJV;X-RAY DIFFRACTION;153;2,4;
5JK0;X-RAY DIFFRACTION;1136;2,1;
5JLT;X-RAY DIFFRACTION;389;2,955;
5JLW;X-RAY DIFFRACTION;212;2,088;
5JLX;X-RAY DIFFRACTION;29;2,748;
5JRE;X-RAY DIFFRACTION;348;2,1;
5JRG;X-RAY DIFFRACTION;244;2,5;
5JUB;X-RAY DIFFRACTION;;2,57;
5JUM;X-RAY DIFFRACTION;145;2,6;
5JVT;X-RAY DIFFRACTION;2;3,1;
5JXY;X-RAY DIFFRACTION;227;1,71;
5K07;X-RAY DIFFRACTION;97;2;
5K17;X-RAY DIFFRACTION;125;2,1;
5K1Y;X-RAY DIFFRACTION;;2,97;
5K58;X-RAY DIFFRACTION;69;2,772;
5K5H;X-RAY DIFFRACTION;6;3,108;
5K5I;X-RAY DIFFRACTION;10;2,19;
5K5J;X-RAY DIFFRACTION;29;2,287;
5K5L;X-RAY DIFFRACTION;2;3,125;
5K5O;X-RAY DIFFRACTION;;3,2;
5K5Q;X-RAY DIFFRACTION;5;2,649;
5K5R;X-RAY DIFFRACTION;;3,09;
5K7Z;X-RAY DIFFRACTION;55;2,92;
5K83;X-RAY DIFFRACTION;276;2,39;
5K97;X-RAY DIFFRACTION;623;2,102;
5K98;X-RAY DIFFRACTION;;3,99;
5KBD;X-RAY DIFFRACTION;;2,8;
5KBJ;X-RAY DIFFRACTION;;3,09;
5KE6;X-RAY DIFFRACTION;81;1,99;
5KE7;X-RAY DIFFRACTION;74;2,06;
5KE8;X-RAY DIFFRACTION;9;2,45;
5KE9;X-RAY DIFFRACTION;14;2,336;
5KEA;X-RAY DIFFRACTION;15;2,458;
5KEB;X-RAY DIFFRACTION;5;2,453;
5KEG;X-RAY DIFFRACTION;100;2,2;
5KFA;X-RAY DIFFRACTION;442;1,51;
5KFB;X-RAY DIFFRACTION;440;1,55;
5KFC;X-RAY DIFFRACTION;441;1,5;
5KFD;X-RAY DIFFRACTION;441;1,65;
5KFE;X-RAY DIFFRACTION;441;1,55;
5KFF;X-RAY DIFFRACTION;437;1,7;
5KFG;X-RAY DIFFRACTION;438;1,55;
5KFH;X-RAY DIFFRACTION;465;1,72;
5KFI;X-RAY DIFFRACTION;464;1,65;
5KFJ;X-RAY DIFFRACTION;465;1,7;
5KFK;X-RAY DIFFRACTION;462;1,7;
5KFL;X-RAY DIFFRACTION;466;1,65;
5KFM;X-RAY DIFFRACTION;450;1,6;
5KFN;X-RAY DIFFRACTION;421;1,45;
5KFO;X-RAY DIFFRACTION;421;1,52;
5KFP;X-RAY DIFFRACTION;459;1,7;
5KFQ;X-RAY DIFFRACTION;460;1,55;
5KFR;X-RAY DIFFRACTION;461;1,75;
5KFS;X-RAY DIFFRACTION;447;1,46;
5KFT;X-RAY DIFFRACTION;436;1,52;
5KFU;X-RAY DIFFRACTION;433;1,55;
5KFV;X-RAY DIFFRACTION;435;1,6;
5KFW;X-RAY DIFFRACTION;467;1,62;
5KFX;X-RAY DIFFRACTION;467;1,52;
5KFY;X-RAY DIFFRACTION;439;1,7;
5KFZ;X-RAY DIFFRACTION;474;1,44;
5KG0;X-RAY DIFFRACTION;466;1,6;
5KG1;X-RAY DIFFRACTION;465;1,62;
5KG2;X-RAY DIFFRACTION;467;1,6;
5KG3;X-RAY DIFFRACTION;466;1,7;
5KG4;X-RAY DIFFRACTION;465;1,6;
5KG5;X-RAY DIFFRACTION;465;1,6;
5KG6;X-RAY DIFFRACTION;464;1,55;
5KG7;X-RAY DIFFRACTION;465;1,75;
5KGF;ELECTRON MICROSCOPY;;4.54, 4.54;
5KK1;X-RAY DIFFRACTION;;3,38;
5KK5;X-RAY DIFFRACTION;;3,289;
5KKQ;X-RAY DIFFRACTION;327;1,744;
5KL2;X-RAY DIFFRACTION;107;1,692;
5KL3;X-RAY DIFFRACTION;184;1,449;
5KL4;X-RAY DIFFRACTION;176;1,783;
5KL5;X-RAY DIFFRACTION;87;2,289;
5KL6;X-RAY DIFFRACTION;121;1,641;
5KL7;X-RAY DIFFRACTION;128;1,579;
5KN8;X-RAY DIFFRACTION;182;1,81;
5KN9;X-RAY DIFFRACTION;165;1,93;
5KRB;X-RAY DIFFRACTION;43;2,101;
5KSE;X-RAY DIFFRACTION;173;2,105;
5KT2;X-RAY DIFFRACTION;85;2,488;
5KT3;X-RAY DIFFRACTION;65;2,64;
5KT4;X-RAY DIFFRACTION;22;2,78;
5KT5;X-RAY DIFFRACTION;10;2,798;
5KT6;X-RAY DIFFRACTION;;3,54;
5KT7;X-RAY DIFFRACTION;;3,151;
5KUB;X-RAY DIFFRACTION;329;1,73;
5KVY;X-RAY DIFFRACTION;219;1,95;
5KW6;X-RAY DIFFRACTION;127;1,91;
5L0M;X-RAY DIFFRACTION;50;2,197;
5L1I;X-RAY DIFFRACTION;138;2,78;
5L1J;X-RAY DIFFRACTION;410;1,94;
5L1K;X-RAY DIFFRACTION;491;1,82;
5L1L;X-RAY DIFFRACTION;529;1,62;
5L2X;X-RAY DIFFRACTION;98;2,2;
5L6L;X-RAY DIFFRACTION;140;2,7;
5L9X;X-RAY DIFFRACTION;465;1,9;
5LCL;X-RAY DIFFRACTION;49;2,2;
5LCM;X-RAY DIFFRACTION;112;1,9;
5LD2;ELECTRON MICROSCOPY;;3,83;
5LEJ;X-RAY DIFFRACTION;7;2,7;
5LEK;X-RAY DIFFRACTION;3;2,8;
5LGY;X-RAY DIFFRACTION;20;2,92;
5LRS;X-RAY DIFFRACTION;15;2,9;
5LTY;X-RAY DIFFRACTION;34;2,66;
5LUX;X-RAY DIFFRACTION;10;3,23;
5LXU;X-RAY DIFFRACTION;93;2,14;
5M0R;ELECTRON MICROSCOPY;;8,2;
5M1S;ELECTRON MICROSCOPY;;6,7;
5M3F;ELECTRON MICROSCOPY;;3,8;
5M5W;ELECTRON MICROSCOPY;;3,8;
5M5X;ELECTRON MICROSCOPY;;4;
5M5Y;ELECTRON MICROSCOPY;;4;
5M64;ELECTRON MICROSCOPY;;4,6;
5MCT;X-RAY DIFFRACTION;612;1,446;
5MCU;X-RAY DIFFRACTION;432;1,7;
5MCV;X-RAY DIFFRACTION;575;1,6;
5MCW;X-RAY DIFFRACTION;513;1,897;
5MEY;X-RAY DIFFRACTION;92;2,05;
5MEZ;X-RAY DIFFRACTION;7;2,98;
5MF0;X-RAY DIFFRACTION;4;3,03;
5MF7;X-RAY DIFFRACTION;464;1,59;
5MG7;X-RAY DIFFRACTION;526;1,45;
5MGA;X-RAY DIFFRACTION;130;3;
5MHJ;X-RAY DIFFRACTION;196;2,117;
5MHK;X-RAY DIFFRACTION;236;2,28;
5MHT;X-RAY DIFFRACTION;112;2,7;
5MLU;X-RAY DIFFRACTION;194;2,8;
5MMA;X-RAY DIFFRACTION;229;2,55;
5MMB;X-RAY DIFFRACTION;103;2,77;
5MPF;X-RAY DIFFRACTION;20;2,918;
5MS0;ELECTRON MICROSCOPY;;9,8;
5N2Q;X-RAY DIFFRACTION;155;2;
5N61;ELECTRON MICROSCOPY;;3,4;
5N6I;X-RAY DIFFRACTION;;3,6;
5N8O;ELECTRON MICROSCOPY;;3,9;
5N8R;X-RAY DIFFRACTION;833;2,2;
5N8S;X-RAY DIFFRACTION;;2,88;
5N8U;X-RAY DIFFRACTION;162;2,62;
5N8Z;X-RAY DIFFRACTION;;3,477;
5N90;X-RAY DIFFRACTION;;3,069;
5N96;X-RAY DIFFRACTION;129;2,716;
5N98;X-RAY DIFFRACTION;135;2,756;
5N9A;X-RAY DIFFRACTION;3;3,036;
5N9D;X-RAY DIFFRACTION;127;2,71;
5N9E;X-RAY DIFFRACTION;1;3,007;
5N9F;X-RAY DIFFRACTION;;2,969;
5NFV;X-RAY DIFFRACTION;42;2,501;
5NJ8;X-RAY DIFFRACTION;;3,3;
5NKL;X-RAY DIFFRACTION;303;1,7;
5NL0;X-RAY DIFFRACTION;;5,4;
5NM9;X-RAY DIFFRACTION;19;2,43;
5NNU;X-RAY DIFFRACTION;111;2,97;
5NNX;X-RAY DIFFRACTION;56;3,29;
5NO1;X-RAY DIFFRACTION;109;2,6;
5NO6;X-RAY DIFFRACTION;16;2,88;
5NPK;X-RAY DIFFRACTION;2683;1,98;
5NPP;X-RAY DIFFRACTION;851;2,22;
5NSR;ELECTRON MICROSCOPY;;3,8;
5NSS;ELECTRON MICROSCOPY;;5,8;
5NW5;X-RAY DIFFRACTION;;6,502;
5NW9;X-RAY DIFFRACTION;57;2,04;
5NWA;X-RAY DIFFRACTION;;3,2;
5O63;X-RAY DIFFRACTION;419;1,6;
5O6B;X-RAY DIFFRACTION;557;2,029;
5O6D;X-RAY DIFFRACTION;;3,283;
5O6E;X-RAY DIFFRACTION;;3,345;
5O6G;X-RAY DIFFRACTION;52;2,75;
5O6I;X-RAY DIFFRACTION;283;2,25;
5O6U;X-RAY DIFFRACTION;;3,25;
5O7T;X-RAY DIFFRACTION;265;1,8;
5O9G;ELECTRON MICROSCOPY;;4,8;
5OA1;ELECTRON MICROSCOPY;;4,4;
5OD6;X-RAY DIFFRACTION;167;2;
5ODG;X-RAY DIFFRACTION;81;2,12;
5ODL;X-RAY DIFFRACTION;137;1,56;
5ODN;X-RAY DIFFRACTION;103;2,598;
5ODP;X-RAY DIFFRACTION;4;2,535;
5OIK;ELECTRON MICROSCOPY;;3,7;
5OLA;X-RAY DIFFRACTION;;3,904;
5OMF;X-RAY DIFFRACTION;269;2,092;
5OMQ;X-RAY DIFFRACTION;90;2,199;
5OMV;X-RAY DIFFRACTION;179;2,003;
5OMX;X-RAY DIFFRACTION;172;2,32;
5OND;X-RAY DIFFRACTION;116;2,1;
5ONG;X-RAY DIFFRACTION;87;2,797;
5ONW;X-RAY DIFFRACTION;62;2,8;
5OQJ;ELECTRON MICROSCOPY;;4,7;
5OQM;ELECTRON MICROSCOPY;;5,8;
5OQN;X-RAY DIFFRACTION;;3,15;
5OQO;X-RAY DIFFRACTION;;3,25;
5OQP;X-RAY DIFFRACTION;;2,98;
5OR5;SOLUTION NMR;;;
5ORQ;X-RAY DIFFRACTION;377;1,95;
5OT2;X-RAY DIFFRACTION;;3,2;
5OXJ;X-RAY DIFFRACTION;98;2;
5OXV;X-RAY DIFFRACTION;;6,721;
5OY7;X-RAY DIFFRACTION;;5,774;
5SVA;ELECTRON MICROSCOPY;;15,3;
5SWM;X-RAY DIFFRACTION;275;1,5;
5SWW;X-RAY DIFFRACTION;16;3,151;
5SY7;X-RAY DIFFRACTION;;4,2;
5SZT;X-RAY DIFFRACTION;250;1,8;
5SZX;X-RAY DIFFRACTION;14;2,251;
5T00;X-RAY DIFFRACTION;97;2,19;
5T01;X-RAY DIFFRACTION;120;1,89;
5T0U;X-RAY DIFFRACTION;12;3,199;
5T14;X-RAY DIFFRACTION;82;3;
5T1J;X-RAY DIFFRACTION;;2,947;
5T2H;X-RAY DIFFRACTION;25;2,517;
5T2N;X-RAY DIFFRACTION;59;2,079;
5T2O;X-RAY DIFFRACTION;13;2,801;
5T2W;X-RAY DIFFRACTION;156;2,2;
5T4I;X-RAY DIFFRACTION;53;2,389;
5T5C;X-RAY DIFFRACTION;270;1,851;
5T5K;X-RAY DIFFRACTION;;4;
5T7X;X-RAY DIFFRACTION;122;2,35;
5T8D;X-RAY DIFFRACTION;259;2,15;
5T9J;X-RAY DIFFRACTION;23;3,00012743215;
5TB8;X-RAY DIFFRACTION;201;2;
5TB9;X-RAY DIFFRACTION;74;2,49;
5TBA;X-RAY DIFFRACTION;59;2,49;
5TBB;X-RAY DIFFRACTION;35;2,39;
5TBC;X-RAY DIFFRACTION;252;1,85;
5TD5;X-RAY DIFFRACTION;98;1,718;
5TGX;X-RAY DIFFRACTION;212;2,3;
5TH3;X-RAY DIFFRACTION;133;2,33;
5THG;X-RAY DIFFRACTION;12;3,106;
5TJG;X-RAY DIFFRACTION;177;2,6;
5TKZ;X-RAY DIFFRACTION;134;1,529;
5TRD;X-RAY DIFFRACTION;395;1,85;
5TVP;X-RAY DIFFRACTION;690;2,399;
5TW1;X-RAY DIFFRACTION;125;2,76;
5TWP;X-RAY DIFFRACTION;274;2,001;
5TWQ;X-RAY DIFFRACTION;376;1,8;
5TWR;X-RAY DIFFRACTION;361;1,9;
5TWS;X-RAY DIFFRACTION;331;1,85;
5TXL;X-RAY DIFFRACTION;219;2,501;
5TXM;X-RAY DIFFRACTION;187;2,7;
5TXN;X-RAY DIFFRACTION;178;2,55;
5TXO;X-RAY DIFFRACTION;169;2,546;
5TXP;X-RAY DIFFRACTION;101;2,7;
5TXX;X-RAY DIFFRACTION;355;1,948;
5TXZ;X-RAY DIFFRACTION;439;1,651;
5TYB;X-RAY DIFFRACTION;392;1,848;
5TYC;X-RAY DIFFRACTION;323;2,101;
5TYD;X-RAY DIFFRACTION;354;1,899;
5TYE;X-RAY DIFFRACTION;319;2,047;
5TYF;X-RAY DIFFRACTION;355;1,971;
5TYG;X-RAY DIFFRACTION;393;1,726;
5TYU;X-RAY DIFFRACTION;252;2,048;
5TYV;X-RAY DIFFRACTION;350;1,93;
5TYW;X-RAY DIFFRACTION;389;1,88;
5TYX;X-RAY DIFFRACTION;354;1,948;
5TYY;X-RAY DIFFRACTION;367;1,931;
5TYZ;X-RAY DIFFRACTION;325;1,977;
5TZS;ELECTRON MICROSCOPY;;5,1;
5TZV;X-RAY DIFFRACTION;591;2;
5U01;X-RAY DIFFRACTION;363;2,5;
5U07;ELECTRON MICROSCOPY;;3,8;
5U0A;ELECTRON MICROSCOPY;;3,3;
5U1C;ELECTRON MICROSCOPY;;3,9;
5U1J;X-RAY DIFFRACTION;;2,95;
5U2R;X-RAY DIFFRACTION;286;1,8;
5U2S;X-RAY DIFFRACTION;94;2,3;
5U2T;X-RAY DIFFRACTION;242;1,79;
5U30;X-RAY DIFFRACTION;7;2,92;
5U31;X-RAY DIFFRACTION;;2,89;
5U33;X-RAY DIFFRACTION;;3,75;
5U8G;X-RAY DIFFRACTION;266;2,166;
5U8H;X-RAY DIFFRACTION;249;2,155;
5U8I;X-RAY DIFFRACTION;89;2,45;
5U8S;ELECTRON MICROSCOPY;;6.101, 6.1;
5U8T;ELECTRON MICROSCOPY;;4.9, 4.9;
5U91;X-RAY DIFFRACTION;35;3,104;
5U9H;X-RAY DIFFRACTION;351;1,85;
5UA1;X-RAY DIFFRACTION;4;2,9;
5UA2;X-RAY DIFFRACTION;2;2,9002;
5UAN;X-RAY DIFFRACTION;;3,508;
5UC6;X-RAY DIFFRACTION;145;2,1;
5UGN;X-RAY DIFFRACTION;256;1,997;
5UGO;X-RAY DIFFRACTION;376;1,897;
5UGP;X-RAY DIFFRACTION;318;1,955;
5UH5;X-RAY DIFFRACTION;;3,746;
5UH6;X-RAY DIFFRACTION;;3,837;
5UH8;X-RAY DIFFRACTION;;4,176;
5UH9;X-RAY DIFFRACTION;;4,402;
5UHA;X-RAY DIFFRACTION;;3,906;
5UHB;X-RAY DIFFRACTION;;4,29;
5UHC;X-RAY DIFFRACTION;;3,796;
5UHD;X-RAY DIFFRACTION;;4,01;
5UHE;X-RAY DIFFRACTION;;4,039;
5UHF;X-RAY DIFFRACTION;;4,345;
5UHG;X-RAY DIFFRACTION;;3,971;
5UI5;X-RAY DIFFRACTION;32;3,4;
5UK7;X-RAY DIFFRACTION;117;3;
5ULW;X-RAY DIFFRACTION;87;2,617;
5ULX;X-RAY DIFFRACTION;291;1,96;
5UM9;X-RAY DIFFRACTION;35;2,805;
5UND;X-RAY DIFFRACTION;77;2,549;
5UOP;X-RAY DIFFRACTION;180;2,85;
5UOQ;X-RAY DIFFRACTION;180;2,61;
